INSERT INTO ShopOwner (shop_owner_id, owner_name, utility_id, phone_no) VALUES
('SO001', 'Rajesh Kumar Gupta', 'U003', '9811223344'),
('SO002', 'Priya Singh Sharma', 'U008', '8765123450'),
('SO003', 'Amit Patel Verma', 'U013', '7654987651'),
('SO004', 'Sunita Devi Agarwal', 'U015', '9988776652'),
('SO005', 'Sanjay Mehta Shah', 'U018', '8877665543'),
('SO006', 'Anita Sharma Joshi', 'U023', '7766554434'),
('SO007', 'Vijay Singh Rathore', 'U025', '9655443325'),
('SO008', 'Meena Kumari Nair', 'U028', '8544332216'),
('SO009', 'Arun Choudhary Iyer', 'U033', '7433221107'),
('SO010', 'Pooja Reddy Menon', 'U035', '9211009988'),
('SO011', 'Manoj Tiwari Pillai', 'U038', '8100998879'),
('SO012', 'Geeta Mishra Saxena', 'U040', '7099887760'),
('SO013', 'Naresh Chauhan Dubey', 'U043', '9788776651'),
('SO014', 'Deepa Yadav Pandey', 'U045', '8677665542'),
('SO015', 'Ravi Malhotra Krishnan', 'U048', '7566554433'),
('SO016', 'Kavita Khanna Bhatia', 'U053', '9455443324'),
('SO017', 'Anil Srinivasan Chaddha', 'U058', '8344332215'),
('SO018', 'Sunil Mehta Varma', 'U063', '7233221106'),
('SO019', 'Rani Shah Rana', 'U065', '9122110097'),
('SO020', 'Ashok Banerjee Shankar', 'U068', '8011009988'),
('SO021', 'Rekha Mukherjee Bose', 'U073', '7900998879'),
('SO022', 'Ajay Chatterjee Ghosh', 'U078', '9699887760'),
('SO023', 'Shalini Das Gupta', 'U083', '8588776651'),
('SO024', 'Prakash Dutta Sen', 'U085', '7477665542'),
('SO025', 'Malini Mitra Roy', 'U088', '9366554433'),
('SO026', 'Jignesh Parekh Majumdar', 'U093', '8255443324'),
('SO027', 'Bhavna Solanki Basu', 'U098', '7144332215'),
('SO028', 'Ketan Dave Nandi', 'U103', '9033221106'),
('SO029', 'Rina Trivedi Dhar', 'U105', '8922110097'),
('SO030', 'Ashish Kulkarni Pal', 'U108', '7811009988'),
('SO031', 'Sneha Patil Sarkar', 'U113', '9500998879'),
('SO032', 'Mahesh Deshmukh Mandal', 'U118', '8499887760'),
('SO033', 'Usha Jadhav Chowdhury', 'U123', '7388776651'),
('SO034', 'Om Prakash Singh Thakur', 'U125', '9277665542'),
('SO035', 'Vandana Yadav Rawat', 'U128', '8166554433'),
('SO036', 'Naveen Sharma Negi', 'U133', '7055443324'),
('SO037', 'Rita Gupta Bisht', 'U138', '9944332215'),
('SO038', 'Arjun Singh Rathore Kandari', 'U143', '8833221106'),
('SO039', 'Maya Kumar Nautiyal', 'U145', '7722110097'),
('SO040', 'Vivek Awasthi Uniyal', 'U148', '9611009988'),
('SO041', 'Ritu Pandey Dimri', 'U153', '8500998879'),
('SO042', 'Alok Srivastava Gusain', 'U158', '7499887760'),
('SO043', 'Sarika Saxena Bhandari', 'U163', '9388776651'),
('SO044', 'Girish Tripathi Chauhan', 'U165', '8277665542'),
('SO045', 'Anjali Dubey Rana', 'U168', '7166554433'),
('SO046', 'Anand Joshi Bartwal', 'U173', '9055443324'),
('SO047', 'Swati Deshpande Rawat', 'U178', '8944332215'),
('SO048', 'Nitin Pawar Mamgain', 'U183', '7833221106'),
('SO049', 'Madhuri Tambe Semwal', 'U185', '9722110097'),
('SO050', 'Sandeep Verma Kukreti', 'U188', '8611009988'),
('SO051', 'Poonam Agarwal Dobhal', 'U193', '7500998879'),
('SO052', 'Hemant Jain Saklani', 'U198', '9499887760'),
('SO053', 'Leela Choudhary Bahuguna', 'U203', '8388776651'),
('SO054', 'Chetan Parikh Raturi', 'U205', '7277665542'),
('SO055', 'Preeti Shinde Kothari', 'U208', '9166554433'),
('SO056', 'Akshay Gaikwad Negi', 'U213', '8055443324'),
('SO057', 'Jyoti More Thapliyal', 'U218', '7944332215'),
('SO058', 'Vikas Sharma Dangwal', 'U223', '9833221106'),
('SO059', 'Smita Gupta Pundir', 'U225', '8722110097'),
('SO060', 'Kailash Singh Panwar', 'U228', '7611009988'),
('SO061', 'Varsha Patel Tomar', 'U233', '9500998879'),
('SO062', 'Dinesh Kumar Bharti', 'U238', '8499887760'),
('SO063', 'Bharti Reddy Kashyap', 'U243', '7388776651'),
('SO064', 'Rohit Rao Maurya', 'U245', '9277665542'),
('SO065', 'Megha Desai Nishad', 'U248', '8166554433'),
('SO066', 'Pranav Joshi Saini', 'U253', '7055443324'),
('SO067', 'Tanvi Iyer Lodhi', 'U257', '9944332215'),
('SO068', 'Yash Menon Kushwaha', 'U260', '8833221106'),
('SO069', 'Isha Pillai Kurmi', 'U267', '7722110097'),
