INSERT INTO Managers (manager_id, manager_name, utility_id, phone_no) VALUES
('M001', 'Aarav Sharma', 'U004', '8765432109'),
('M002', 'Vihaan Singh', 'U009', '1234567890'),
('M003', 'Vivaan Gupta', 'U014', '9876543210'),
('M004', 'Aditya Kumar', 'U019', '1122334455'),
('M005', 'Arjun Patel', 'U024', '9988776655'),
('M006', 'Sai Reddy', 'U029', '1010101010'),
('M007', 'Reyansh Rao', 'U034', '8887776665'),
('M008', 'Krishna Iyer', 'U039', '2233445566'),
('M009', 'Ishaan Menon', 'U044', '7776665554'),
('M010', 'Rudra Joshi', 'U049', '3344556677'),
('M011', 'Dhruv Deshpande', 'U054', '8889990001'),
('M012', 'Atharv Mukherjee', 'U059', '4455667788'),
('M013', 'Aryan Banerjee', 'U064', '9998887776'),
('M014', 'Kabir Chatterjee', 'U069', '5566778899'),
('M015', 'Ansh Agarwal', 'U074', '1112223334'),
('M016', 'Ayaan Jain', 'U079', '6677889900'),
('M017', 'Advik Verma', 'U084', '2223334445'),
('M018', 'Mohammed Das', 'U089', '7778889990'),
('M019', 'Neel Mishra', 'U094', '3334445556'),
('M020', 'Riaan Tiwari', 'U099', '8889990001'),
('M021', 'Shaurya Trivedi', 'U104', '4445556667'),
('M022', 'Aarush Pillai', 'U109', '9990001112'),
('M023', 'Yuvan Nair', 'U114', '5556667778'),
('M024', 'Veer Subramanian', 'U119', '1110009993'),
('M025', 'Arnav Srinivasan', 'U124', '6667778889'),
('M026', 'Parth Mehra', 'U129', '2221110004'),
('M027', 'Ayaan Khanna', 'U134', '7778889995'),
('M028', 'Ritvik Kapoor', 'U139', '3332221116'),
('M029', 'Ishaan Malhotra', 'U144', '8887776667'),
('M030', 'Darsh Desai', 'U149', '4443332228'),
('M031', 'Aarav Bhatt', 'U154', '9998887779'),
('M032', 'Advait Shah', 'U159', '5554443330'),
('M033', 'Vihaan Rathore', 'U164', '1119998881'),
('M034', 'Aadi Choudhury', 'U169', '6665554442'),
('M035', 'Arin Pandey', 'U174', '2220009993'),
('M036', 'Ishaan Krishnan', 'U179', '7776665554'),
('M037', 'Rohan Goel', 'U184', '3331110005'),
('M038', 'Samarth Reddy', 'U189', '8885554446'),
('M039', 'Ayaan Venkat', 'U194', '4449998887'),
('M040', 'Arjun Khan', 'U199', '9994443338'),
('M041', 'Kian Kumar', 'U204', '5558887779'),
('M042', 'Abeer Singh', 'U209', '1117776660'),
('M043', 'Zayn Yadav', 'U214', '6663332221'),
('M044', 'Om Raman', 'U219', '2228887772'),
('M045', 'Daksh Patil', 'U224', '7774443333'),
('M046', 'Krish Sen', 'U229', '3339998884'),
('M047', 'Dev Singh', 'U234', '8885554445'),
('M048', 'Rehan Varma', 'U239', '4441110006'),
('M049', 'Ranbir Mehta', 'U244', '9996665557'),
('M050', 'Ayaan Iyer', 'U249', '5552221118'),
('M051', 'Rishaan Nair', 'U254', '1117776669'),
('M052', 'Aarav Singh', 'U261', '6664443330'),
('M053', 'Vihaan Gupta', 'U264', '2229998881'),
('M054', 'Vivaan Kumar', 'U268', '7775554442'),
('M055', 'Aditya Patel', 'U275', '3331110003'),
